PROCURANDO | head: 0 left: 0 | frente | PROCURANDO
PROCURANDO | head: 0 left: 0 | frente | PROCURANDO
PROCURANDO | head: 1 left: 0 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 0 left: 0 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 0 left: 0 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 0 left: 1 | frente | SEGUINDO
SEGUINDO | head: 0 left: 1 | frente | SEGUINDO
SEGUINDO | head: 0 left: 1 | frente | SEGUINDO
SEGUINDO | head: 0 left: 1 | frente | SEGUINDO
SEGUINDO | head: 1 left: 1 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 1 left: 0 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 0 left: 0 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 0 left: 1 | frente | SEGUINDO
SEGUINDO | head: 1 left: 0 | rotaciona | PROCURANDO
PROCURANDO | head: 0 left: 0 | frente | PROCURANDO
PROCURANDO | head: 1 left: 1 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 1 left: 0 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 0 left: 0 | rotaciona | ROTACIONANDO
ROTACIONANDO | head: 0 left: 1 | frente | SEGUINDO
SEGUINDO | head: 0 left: 1 | frente | SEGUINDO
SEGUINDO | head: 0 left: 1 | frente | SEGUINDO
